s1 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 06 00 02 04 04 00 10 12 04 10 06 02 04
02 00 00 00 08 00 04 04 04 00 06 08 06 12 06 04 02
03 14 04 02 02 10 06 04 02 06 04 04 00 02 02 02 00
04 00 00 00 06 00 10 10 06 00 04 06 04 02 08 06 02
05 04 08 06 02 02 04 04 02 00 04 04 00 12 02 04 06
06 00 04 02 04 08 02 06 02 08 04 04 02 04 02 00 12
07 02 04 10 04 00 04 08 04 02 04 08 02 02 02 04 04
08 00 00 00 12 00 08 08 04 00 06 02 08 08 02 02 04
09 10 02 04 00 02 04 06 00 02 02 08 00 10 00 02 12
0A 00 08 06 02 02 08 06 00 06 04 06 00 04 00 02 10
0B 02 04 00 10 02 02 04 00 02 06 02 06 06 04 02 12
0C 00 00 00 08 00 06 06 00 00 06 06 04 06 06 14 02
0D 06 06 04 08 04 08 02 06 00 06 04 06 00 02 00 02
0E 00 04 08 08 06 06 04 00 06 06 04 00 00 04 00 08
0F 02 00 02 04 04 06 04 02 04 08 02 02 02 06 08 08
10 00 00 00 00 00 00 02 14 00 06 06 12 04 06 08 06
11 06 08 02 04 06 04 08 06 04 00 06 06 00 04 00 00
12 00 08 04 02 06 06 04 06 06 04 02 06 06 00 04 00
13 02 04 04 06 02 00 04 06 02 00 06 08 04 06 04 06
14 00 08 08 00 10 00 04 02 08 02 02 04 04 08 04 00
15 00 04 06 04 02 02 04 10 06 02 00 10 00 04 06 04
16 00 08 10 08 00 02 02 06 10 02 00 02 00 06 02 06
17 04 04 06 00 10 06 00 02 04 04 04 06 06 06 02 00
18 00 06 06 00 08 04 02 02 02 04 06 08 06 06 02 02
19 02 06 02 04 00 08 04 06 10 04 00 04 02 08 04 00
1A 00 06 04 00 04 06 06 06 06 02 02 00 04 04 06 08
1B 04 04 02 04 10 06 06 04 06 02 02 04 02 02 04 02
1C 00 10 10 06 06 00 00 12 06 04 00 00 02 04 04 00
1D 04 02 04 00 08 00 00 02 10 00 02 06 06 06 14 00
1E 00 02 06 00 14 02 00 00 06 04 10 08 02 02 06 02
1F 02 04 10 06 02 02 02 08 06 08 00 00 00 04 06 04
20 00 00 00 10 00 12 08 02 00 06 04 04 04 02 00 12
21 00 04 02 04 04 08 10 00 04 04 10 00 04 00 02 08
22 10 04 06 02 02 08 02 02 02 02 06 00 04 00 04 10
23 00 04 04 08 00 02 06 00 06 06 02 10 02 04 00 10
24 12 00 00 02 02 02 02 00 14 14 02 00 02 06 02 04
25 06 04 04 12 04 04 04 10 02 02 02 00 04 02 02 02
26 00 00 04 10 10 10 02 04 00 04 06 04 04 04 02 00
27 10 04 02 00 02 04 02 00 04 08 00 04 08 08 04 04
28 12 02 02 08 02 06 12 00 00 02 06 00 04 00 06 02
29 04 02 02 10 00 02 04 00 00 14 10 02 04 06 00 04
2A 04 02 04 06 00 02 08 02 02 14 02 06 02 06 02 02
2B 12 02 02 02 04 06 06 02 00 02 06 02 06 00 08 04
2C 04 02 02 04 00 02 10 04 02 02 04 08 08 04 02 06
2D 06 02 06 02 08 04 04 04 02 04 06 00 08 02 00 06
2E 06 06 02 02 00 02 04 06 04 00 06 02 12 02 06 04
2F 02 02 02 02 02 06 08 08 02 04 04 06 08 02 04 02
30 00 04 06 00 12 06 02 02 08 02 04 04 06 02 02 04
31 04 08 02 10 02 02 02 02 06 00 00 02 02 04 10 08
32 04 02 06 04 04 02 02 04 06 06 04 08 02 02 08 00
33 04 04 06 02 10 08 04 02 04 00 02 02 04 06 02 04
34 00 08 16 06 02 00 00 12 06 00 00 00 00 08 00 06
35 02 02 04 00 08 00 00 00 14 04 06 08 00 02 14 00
36 02 06 02 02 08 00 02 02 04 02 06 08 06 04 10 00
37 02 02 12 04 02 04 04 10 04 04 02 06 00 02 02 04
38 00 06 02 02 02 00 02 02 04 06 04 04 04 06 10 10
39 06 02 02 04 12 06 04 08 04 00 02 04 02 04 04 00
3A 06 04 06 04 06 08 00 06 02 02 06 02 02 06 04 00
3B 02 06 04 00 00 02 04 06 04 06 08 06 04 04 06 02
3C 00 10 04 00 12 00 04 02 06 00 04 12 04 04 02 00
3D 00 08 06 02 02 06 00 08 04 04 00 04 00 12 04 04
3E 04 08 02 02 02 04 04 14 04 02 00 02 00 08 04 04
3F 04 08 04 02 04 00 02 04 04 02 04 08 08 06 02 02
Maximum = 14 for row = 0C and column = 0E
left = 00808200	right = 60000000

s2 table
xx 00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
00 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
01 00 00 00 04 00 02 06 04 00 14 08 06 08 04 06 02
02 00 00 00 02 00 04 06 04 00 00 04 06 10 10 12 06
03 04 08 04 08 04 06 04 02 04 02 02 04 06 02 00 04
